n,heapsort.ticks
150000,59307571
180000,72376481
210000,85544700
240000,98788023
270000,112171444
300000,125831159
330000,139580371
360000,153412888
390000,167286704
420000,181195964
450000,195131449
480000,209161340
510000,223116573
540000,237309852
570000,251649397
600000,266068988
630000,280530667
660000,295012610
690000,309554157
720000,324108387
750000,338654564
780000,353247815
810000,367869952
840000,382532451
870000,397169331
900000,411920575
930000,426559459
960000,441270140
990000,456009191
1020000,470755144
1050000,485509172
1080000,500507424
1110000,515614084
1140000,530723126
1170000,545811825
1200000,560939433
1230000,576071711
1260000,591261337
1290000,606498099
1320000,621731286
1350000,636923127
1380000,652172255
1410000,667443262
1440000,682688597
1470000,698046668
