n,heapsort.time
150000,104
180000,151
210000,198
240000,254
270000,308
300000,362
330000,421
360000,476
390000,546
420000,609
450000,668
480000,741
510000,796
540000,870
570000,943
600000,1002
630000,1079
660000,1147
690000,1209
720000,1300
750000,1363
780000,1473
810000,1529
840000,1605
870000,1687
900000,1773
930000,1811
960000,1935
990000,2001
1020000,2117
1050000,2172
1080000,2257
1110000,2382
1140000,2508
1170000,2610
1200000,2664
1230000,2841
1260000,3840
1290000,4023
1320000,3008
1350000,3100
1380000,3212
1410000,3430
1440000,3430
1470000,3603
